epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,373.463,0.62106,1.26567,0.40005,0.43343,0.90684,0.93158,0.94194,0.97028,0.78483,0.91882,0.92903,0.94957,0.69635,0.77088,1.15254,0.15664,0.49155,0.92045,0.0052674,0.0017558,0.0052674,0.0017558,0.0052674,0.0017558,0.0052674,0.0017558
39,381.54,0.62649,1.19182,0.37711,0.42827,0.90055,0.95835,0.89677,0.97176,0.7862,0.93604,0.89677,0.9577,0.68822,0.75098,1.20299,0.14963,0.47438,0.92538,0.0052476,0.0017492,0.0052476,0.0017492,0.0052476,0.0017492,0.0052476,0.0017492
40,389.321,0.60494,1.16354,0.39444,0.42259,0.90628,0.92514,0.95678,0.97375,0.80248,0.91594,0.95484,0.96449,0.69437,0.75016,1.14862,0.13667,0.46993,0.91039,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
41,398.236,0.6193,1.16368,0.38275,0.41461,0.9174,0.90737,0.93548,0.96249,0.7995,0.90112,0.92903,0.96341,0.7122,0.74191,1.14074,0.13986,0.47805,0.91296,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
42,407.202,0.60264,1.14545,0.35859,0.40885,0.89945,0.91863,0.92903,0.96533,0.79952,0.91863,0.92903,0.96982,0.71777,0.75453,1.10808,0.13393,0.48116,0.92405,0.0051882,0.0017294,0.0051882,0.0017294,0.0051882,0.0017294,0.0051882,0.0017294
43,415.868,0.60093,1.19762,0.37241,0.42163,0.89712,0.9333,0.94194,0.97269,0.79535,0.9333,0.94194,0.97269,0.73371,0.74548,1.00518,0.12798,0.4702,0.91675,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
44,424.629,0.59739,1.13227,0.35059,0.40987,0.89932,0.94934,0.90968,0.97371,0.79819,0.94934,0.90968,0.97371,0.70761,0.73307,1.1187,0.12205,0.47243,0.91319,0.0051486,0.0017162,0.0051486,0.0017162,0.0051486,0.0017162,0.0051486,0.0017162
45,431.906,0.57491,1.08974,0.33697,0.40009,0.89899,0.93036,0.93548,0.97674,0.80432,0.92395,0.92903,0.96408,0.71634,0.72906,1.02397,0.11582,0.45883,0.90071,0.0051288,0.0017096,0.0051288,0.0017096,0.0051288,0.0017096,0.0051288,0.0017096
46,442.019,0.62338,1.15367,0.338,0.41877,0.90374,0.92623,0.94194,0.97259,0.79427,0.92072,0.95484,0.9754,0.72421,0.74717,1.03003,0.11212,0.47115,0.90572,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
47,451.275,0.58875,1.134,0.33022,0.39341,0.89154,0.94151,0.93473,0.97275,0.79348,0.92202,0.91537,0.94647,0.72574,0.72082,1.00488,0.10736,0.45624,0.90925,0.0050892,0.0016964,0.0050892,0.0016964,0.0050892,0.0016964,0.0050892,0.0016964
